246, 231, 112
240, 236, 122
228, 223, 106
245, 230, 113
242, 226, 110
208, 206, 129
238, 231, 122
235, 225, 108
240, 229, 113
221, 216, 120
234, 231, 130
235, 235, 140
237, 225, 110
245, 233, 115
242, 229, 112
236, 236, 147
222, 215, 113
237, 236, 134
243, 228, 108
238, 227, 115
231, 223, 117
238, 235, 128
209, 206, 124
225, 225, 146
241, 233, 122
226, 222, 109
232, 224, 106
234, 224, 108
218, 213, 116
232, 224, 115
232, 224, 124
237, 232, 127
241, 226, 110
222, 219, 119
241, 234, 123
225, 218, 106
236, 225, 110
239, 237, 126
225, 218, 115
232, 230, 131
229, 224, 109
243, 227, 112
241, 227, 111
246, 231, 116
240, 236, 126
241, 230, 116
228, 225, 138
239, 229, 118
235, 235, 144
239, 229, 127
247, 233, 112
245, 233, 119
239, 232, 123
242, 232, 121
246, 234, 117
231, 223, 112
222, 218, 113
247, 234, 113
245, 229, 112
232, 224, 110
237, 228, 115
242, 233, 122
220, 213, 113
243, 234, 119
246, 230, 110
226, 224, 113
224, 221, 134
235, 227, 108
235, 227, 117
225, 221, 130
239, 229, 113
244, 233, 118
237, 235, 132
241, 229, 115
231, 222, 115
242, 229, 111
220, 217, 115
248, 234, 113
243, 230, 117
227, 219, 117
207, 205, 116
234, 234, 139
236, 232, 130
244, 230, 112
241, 226, 109
246, 230, 114
240, 235, 124
236, 225, 109
228, 222, 105
237, 234, 126
226, 224, 135
230, 222, 116
247, 232, 110
240, 228, 112
245, 232, 117
223, 221, 114
242, 228, 114
209, 202, 112
217, 212, 115
239, 229, 117
245, 233, 118
242, 229, 115
243, 230, 112
216, 214, 127
238, 237, 132
246, 234, 116
239, 225, 110
237, 230, 124
231, 225, 111
243, 234, 118
246, 230, 109
223, 220, 117
220, 216, 114
234, 227, 113
234, 227, 131
239, 236, 124
241, 228, 113
237, 234, 139
242, 228, 109
236, 227, 113
240, 228, 116
224, 221, 133
235, 227, 116
237, 227, 118
244, 233, 117
241, 229, 114
239, 229, 121
221, 215, 113
241, 232, 119
225, 223, 138
248, 234, 112
225, 224, 112
239, 235, 128
225, 224, 121
240, 234, 122
233, 225, 108
248, 235, 113
233, 225, 117
241, 236, 122
223, 220, 112
240, 227, 110
226, 224, 116
223, 220, 130
229, 222, 119
246, 233, 115
239, 228, 115
234, 230, 131
247, 232, 109
240, 228, 111
245, 232, 116
242, 228, 113
235, 227, 111
237, 227, 113
239, 229, 116
235, 226, 124
228, 220, 106
243, 230, 111
245, 235, 117
239, 235, 123
240, 231, 121
223, 216, 119
218, 215, 119
231, 225, 110
224, 217, 117
231, 225, 128
236, 231, 128
229, 222, 105
242, 235, 120
240, 235, 127
237, 231, 124
243, 233, 121
234, 236, 151
229, 222, 123
241, 228, 112
222, 221, 121
239, 228, 119
221, 214, 111
236, 227, 121
236, 237, 153
234, 232, 135
235, 226, 110
221, 215, 121
247, 235, 114
239, 227, 114
239, 235, 127
242, 231, 118
243, 229, 110
240, 234, 121
234, 226, 115
233, 225, 107
246, 232, 113
238, 229, 118
240, 227, 109
244, 229, 114
223, 219, 115
246, 233, 114
236, 234, 134
236, 227, 116
245, 231, 110
229, 228, 134
235, 226, 114
240, 230, 119
218, 211, 112
237, 226, 116
227, 228, 150
232, 225, 107
234, 225, 109
244, 228, 109
223, 216, 109
226, 222, 132
243, 229, 114
210, 203, 112
238, 226, 111
240, 234, 125
237, 230, 122
243, 232, 119
226, 218, 116
201, 199, 121
229, 222, 104
244, 229, 109
243, 233, 120
220, 218, 121
227, 220, 105
236, 237, 143
245, 231, 114
239, 231, 120
235, 226, 109
237, 226, 111
242, 230, 116
232, 222, 115
225, 223, 127
228, 220, 109
234, 235, 154
242, 231, 117
243, 229, 109
222, 220, 124
240, 233, 124
246, 232, 112
231, 224, 108
238, 229, 117
225, 219, 107
236, 226, 111
220, 215, 120
235, 225, 112
240, 229, 117
219, 214, 112
230, 224, 104
238, 225, 110
245, 231, 109
227, 220, 118
241, 231, 117
235, 226, 113
240, 230, 118
237, 236, 138
237, 226, 115
232, 225, 106
238, 235, 132
231, 231, 134
234, 225, 108
239, 227, 117
238, 228, 120
223, 218, 126
243, 235, 120
246, 231, 111
245, 230, 112
238, 232, 126
242, 226, 109
206, 204, 116
220, 215, 115
240, 229, 112
221, 214, 109
240, 229, 121
235, 225, 116
227, 220, 113
224, 216, 110
241, 231, 121
235, 226, 108
237, 226, 110
242, 230, 115
238, 235, 127
244, 228, 112
234, 235, 153
239, 227, 112
235, 228, 126
233, 234, 145
243, 229, 108
238, 228, 115
238, 236, 128
241, 234, 122
226, 225, 131
201, 198, 123
222, 219, 127
239, 237, 125
223, 218, 112
217, 210, 115
244, 231, 113
241, 227, 110
244, 234, 118
224, 223, 117
241, 230, 115
235, 225, 111
240, 229, 116
240, 229, 125
238, 234, 130
220, 217, 119
247, 231, 110
241, 231, 116
213, 211, 129
236, 236, 141
236, 236, 150
237, 236, 137
243, 228, 111
238, 235, 131
241, 233, 125
245, 229, 111
232, 224, 109
242, 233, 121
220, 213, 112
232, 224, 118
229, 220, 115
239, 226, 111
225, 218, 118
227, 224, 110
243, 235, 119
246, 231, 110
244, 231, 117
239, 230, 117
225, 221, 129
241, 230, 119
235, 235, 147
242, 229, 110
246, 235, 116
240, 232, 122
236, 236, 145
227, 219, 116
219, 217, 126
238, 227, 113
237, 236, 141
226, 222, 107
236, 232, 129
220, 213, 116
234, 224, 115
237, 228, 127
238, 228, 114
241, 234, 121
223, 218, 111
240, 225, 109
229, 224, 107
243, 227, 110
244, 231, 112
241, 227, 109
246, 231, 114
240, 236, 124
223, 221, 122
244, 234, 117
236, 226, 109
241, 230, 114
237, 235, 135
242, 229, 114
224, 222, 138
218, 217, 125
230, 226, 130
236, 236, 140
227, 219, 111
246, 234, 115
240, 232, 126
232, 223, 116
237, 236, 136
222, 215, 115
238, 227, 117
231, 223, 119
238, 235, 130
239, 225, 109
241, 233, 124
245, 229, 110
232, 224, 108
242, 233, 120
223, 217, 120
239, 226, 110
244, 230, 115
239, 237, 128
233, 226, 113
226, 224, 138
235, 234, 136
249, 235, 112
246, 231, 109
242, 236, 121
240, 228, 115
224, 221, 132
241, 229, 113
227, 226, 127
235, 224, 109
241, 232, 118
247, 233, 114
239, 232, 125
226, 221, 114
242, 232, 123
243, 230, 115
210, 204, 113
238, 227, 112
207, 205, 114
225, 222, 110
247, 234, 115
233, 223, 116
239, 233, 126
221, 219, 118
248, 235, 112
243, 231, 116
229, 223, 105
228, 221, 120
227, 223, 112
244, 230, 110
246, 230, 112
240, 235, 122
226, 224, 124
213, 214, 142
219, 215, 118
239, 236, 127
243, 227, 109
245, 232, 115
240, 236, 123
225, 221, 114
235, 227, 110
237, 227, 112
236, 235, 138
237, 227, 121
244, 233, 120
237, 235, 134
224, 222, 119
241, 229, 117
245, 233, 116
235, 224, 113
241, 232, 122
220, 217, 117
242, 232, 118
238, 237, 130
232, 233, 147
213, 210, 131
241, 233, 123
245, 229, 109
232, 224, 107
234, 224, 109
223, 217, 110
225, 220, 108
236, 231, 127
226, 224, 110
242, 235, 119
233, 226, 112
237, 234, 128
239, 228, 118
242, 236, 120
240, 228, 114
224, 221, 131
235, 227, 114
237, 227, 116
241, 229, 112
247, 233, 113
248, 234, 110
234, 233, 135
243, 230, 114
238, 237, 134
233, 225, 115
227, 225, 121
244, 232, 119
227, 222, 106
242, 227, 110
240, 235, 121
218, 216, 123
237, 231, 127
239, 228, 113
237, 234, 132
245, 232, 114
236, 227, 115
235, 227, 109
236, 235, 137
239, 229, 114
244, 233, 119
241, 229, 116
233, 232, 132
248, 234, 114
223, 216, 108
238, 237, 129
241, 235, 123
239, 235, 130
241, 225, 109
240, 234, 124
238, 226, 110
224, 217, 106
234, 226, 118
233, 225, 110
237, 230, 130
241, 236, 124
230, 221, 116
223, 217, 118
240, 227, 112
240, 235, 125
244, 229, 108
243, 233, 119
241, 228, 110
239, 228, 117
247, 232, 111
240, 228, 113
224, 221, 130
235, 227, 113
221, 218, 125
232, 232, 140
241, 229, 111
240, 230, 122
218, 211, 115
209, 204, 113
229, 221, 116
228, 220, 108
242, 231, 116
218, 212, 116
229, 229, 147
238, 226, 114
218, 215, 121
237, 230, 125
243, 232, 122
231, 225, 112
234, 226, 122
246, 232, 111
244, 232, 118
223, 217, 113
242, 227, 109
238, 229, 125
242, 235, 122
244, 229, 112
239, 228, 112
241, 228, 114
221, 214, 113
238, 225, 109
228, 224, 110
208, 205, 114
235, 226, 112
240, 230, 117
239, 234, 128
237, 226, 114
232, 225, 105
235, 237, 148
240, 231, 118
239, 235, 129
242, 231, 120
238, 236, 132
234, 226, 108
240, 234, 123
234, 226, 117
228, 221, 104
233, 225, 109
238, 229, 120
240, 227, 111
243, 233, 118
242, 234, 121
220, 215, 114
223, 219, 126
235, 225, 115
226, 219, 115
236, 227, 109
216, 210, 112
238, 233, 126
241, 231, 120
239, 231, 127
242, 230, 114
240, 230, 121
226, 223, 112
244, 228, 111
233, 231, 139
228, 220, 107
239, 227, 111
223, 216, 111
234, 226, 112
231, 224, 106
244, 232, 117
217, 210, 114
204, 203, 117
238, 229, 115
237, 229, 128
224, 220, 111
