180, 145, 241
195, 142, 254
182, 140, 248
185, 143, 246
190, 147, 251
179, 146, 240
178, 146, 252
186, 140, 252
194, 153, 254
191, 146, 252
192, 141, 252
185, 140, 250
185, 146, 247
182, 142, 244
184, 142, 246
189, 142, 252
181, 141, 245
183, 145, 245
186, 140, 254
184, 144, 246
185, 141, 250
194, 146, 253
183, 143, 247
183, 141, 250
180, 139, 244
193, 148, 253
194, 143, 254
184, 140, 251
184, 142, 248
181, 148, 253
190, 141, 254
182, 144, 246
184, 144, 248
182, 142, 248
186, 141, 251
186, 143, 248
182, 145, 244
188, 141, 253
192, 145, 253
180, 146, 242
186, 144, 249
182, 147, 244
191, 142, 254
187, 144, 249
182, 145, 246
187, 141, 250
189, 141, 253
187, 142, 251
194, 140, 253
183, 141, 247
183, 143, 244
193, 144, 253
180, 133, 243
178, 144, 238
192, 140, 252
186, 143, 252
183, 146, 245
187, 140, 253
184, 142, 247
184, 143, 246
181, 142, 245
183, 142, 247
184, 147, 246
185, 134, 249
188, 142, 251
184, 144, 247
185, 140, 253
195, 155, 253
185, 144, 253
182, 142, 247
184, 140, 252
184, 142, 249
180, 146, 241
175, 143, 235
191, 144, 251
194, 149, 253
181, 138, 243
186, 140, 251
188, 140, 253
186, 141, 252
186, 143, 249
182, 145, 245
186, 142, 251
184, 145, 247
188, 141, 254
184, 140, 254
182, 143, 248
191, 141, 254
190, 136, 252
187, 141, 252
183, 144, 245
182, 141, 250
189, 143, 252
193, 143, 253
182, 140, 251
188, 143, 253
183, 140, 247
195, 148, 254
185, 143, 249
182, 139, 246
187, 143, 251
189, 143, 254
185, 141, 251
181, 143, 246
185, 147, 246
183, 143, 248
184, 140, 249
192, 140, 253
189, 140, 249
183, 142, 246
181, 146, 244
185, 135, 247
182, 139, 248
183, 147, 254
189, 138, 251
185, 139, 247
180, 149, 239
182, 143, 245
184, 141, 249
207, 173, 245
227, 189, 252
221, 176, 249
234, 184, 253
238, 184, 254
233, 183, 254
215, 167, 251
234, 183, 254
199, 168, 250
238, 186, 254
225, 183, 250
232, 181, 254
215, 169, 251
234, 186, 252
197, 166, 235
237, 184, 254
212, 175, 248
224, 177, 252
231, 185, 254
227, 182, 254
230, 181, 253
210, 173, 249
229, 182, 249
229, 183, 248
212, 178, 246
209, 171, 253
226, 181, 250
212, 174, 251
222, 179, 249
224, 177, 254
218, 181, 244
224, 179, 251
206, 174, 229
183, 154, 231
204, 169, 248
226, 179, 252
233, 184, 253
214, 171, 246
210, 173, 251
223, 179, 248
231, 183, 249
233, 181, 254
211, 179, 235
189, 162, 225
233, 186, 253
234, 181, 254
234, 183, 251
227, 179, 253
209, 164, 243
225, 185, 253
236, 183, 254
216, 169, 253
231, 181, 254
229, 180, 253
231, 184, 250
227, 181, 251
199, 168, 240
211, 166, 246
234, 183, 253
227, 181, 252
227, 182, 251
201, 161, 233
194, 151, 228
220, 176, 254
210, 176, 236
217, 174, 248
221, 187, 250
169, 142, 213
234, 184, 254
230, 182, 251
238, 185, 254
224, 185, 253
183, 153, 230
232, 183, 253
218, 176, 245
221, 184, 247
218, 177, 253
226, 188, 252
237, 183, 254
219, 173, 251
237, 186, 253
215, 174, 248
221, 176, 252
222, 185, 253
214, 180, 240
214, 174, 254
232, 186, 254
235, 185, 252
227, 179, 250
236, 184, 253
235, 183, 254
239, 187, 254
219, 172, 254
189, 150, 223
227, 188, 252
209, 179, 240
229, 182, 253
168, 142, 213
224, 186, 249
229, 179, 254
189, 162, 227
236, 186, 252
218, 174, 252
196, 163, 247
215, 175, 251
238, 183, 254
225, 179, 251
236, 185, 253
233, 182, 254
231, 183, 253
236, 182, 254
218, 170, 254
233, 186, 254
232, 183, 250
231, 180, 254
208, 171, 254
236, 187, 253
198, 166, 249
221, 179, 254
196, 164, 248
232, 182, 251
204, 170, 243
230, 182, 250
230, 183, 249
220, 181, 252
236, 188, 254
229, 182, 248
231, 186, 254
211, 174, 251
223, 177, 253
219, 176, 249
209, 166, 247
213, 185, 238
216, 178, 250
228, 181, 252
204, 170, 245
230, 181, 254
230, 183, 251
206, 180, 232
219, 184, 244
232, 186, 253
226, 187, 252
217, 170, 254
234, 187, 254
228, 179, 254
235, 186, 252
197, 165, 248
203, 161, 237
232, 185, 254
213, 171, 241
235, 184, 252
233, 184, 251
207, 172, 253
234, 184, 251
231, 181, 253
229, 182, 252
235, 182, 254
220, 184, 245
225, 186, 253
222, 175, 252
216, 170, 253
215, 183, 245
217, 181, 250
206, 172, 232
172, 103, 248
168, 106, 241
168, 101, 254
173, 102, 251
167, 104, 245
168, 103, 245
171, 102, 250
166, 108, 240
176, 104, 251
172, 102, 251
168, 103, 247
170, 103, 249
174, 102, 252
172, 103, 252
171, 110, 241
173, 115, 240
173, 104, 249
172, 101, 254
171, 108, 243
174, 103, 252
170, 105, 248
177, 105, 253
175, 115, 253
170, 103, 244
168, 103, 251
172, 104, 249
166, 106, 246
170, 105, 250
172, 112, 241
170, 109, 241
171, 102, 247
169, 102, 254
174, 106, 247
166, 104, 242
167, 104, 247
171, 102, 249
178, 102, 254
170, 107, 243
173, 105, 245
172, 102, 250
171, 113, 239
175, 103, 249
171, 105, 244
169, 103, 244
170, 103, 250
174, 102, 253
169, 106, 242
171, 107, 243
174, 105, 254
166, 108, 246
167, 107, 240
167, 107, 249
173, 101, 254
173, 103, 251
171, 104, 249
169, 103, 248
167, 104, 246
169, 105, 248
171, 104, 251
171, 102, 251
172, 105, 248
168, 109, 240
170, 107, 245
168, 103, 248
173, 103, 246
175, 101, 251
169, 104, 251
170, 102, 253
174, 103, 253
167, 103, 242
177, 105, 254
175, 102, 254
172, 105, 243
170, 104, 244
168, 107, 247
165, 105, 241
167, 105, 251
168, 105, 249
169, 102, 246
172, 103, 248
167, 103, 253
168, 106, 241
168, 101, 254
173, 102, 251
167, 104, 245
176, 118, 251
168, 103, 245
165, 109, 243
169, 105, 238
167, 106, 236
166, 107, 248
171, 102, 250
173, 108, 251
166, 108, 240
176, 104, 251
172, 102, 251
168, 103, 247
173, 106, 253
170, 103, 249
174, 102, 252
160, 114, 231
175, 111, 254
172, 103, 252
171, 110, 241
168, 111, 244
173, 104, 249
173, 107, 245
172, 101, 254
171, 108, 243
174, 103, 252
170, 105, 248
168, 118, 240
177, 105, 253
169, 112, 238
178, 115, 253
165, 104, 244
165, 109, 240
175, 115, 253
170, 103, 244
168, 103, 251
172, 104, 249
166, 106, 246
170, 105, 250
166, 107, 245
171, 102, 247
170, 109, 241
169, 102, 254
169, 112, 240
166, 110, 246
166, 104, 242
167, 104, 247
163, 111, 239
167, 112, 239
171, 102, 249
169, 107, 246
178, 102, 254
170, 107, 243
173, 105, 245
172, 102, 250
167, 112, 241
154, 111, 228
171, 113, 239
175, 103, 249
171, 105, 244
163, 110, 242
169, 103, 244
175, 113, 253
167, 115, 242
171, 106, 245
170, 103, 250
174, 102, 253
170, 108, 249
169, 106, 242
174, 117, 253
171, 107, 243
167, 106, 251
179, 109, 254
180, 115, 254
174, 105, 254
166, 108, 246
166, 110, 243
167, 107, 240
178, 113, 254
170, 108, 242
173, 101, 254
173, 103, 251
171, 104, 249
179, 118, 250
165, 110, 231
170, 112, 239
169, 103, 248
167, 104, 246
176, 110, 254
168, 110, 239
176, 116, 251
169, 105, 248
171, 104, 251
171, 102, 251
172, 112, 254
172, 105, 248
171, 109, 241
168, 109, 240
170, 106, 246
170, 107, 245
160, 110, 235
167, 105, 247
168, 103, 248
166, 106, 234
164, 106, 241
173, 103, 246
166, 109, 242
175, 101, 251
169, 104, 251
170, 102, 253
171, 113, 240
174, 103, 253
171, 105, 245
167, 103, 242
177, 105, 254
175, 102, 254
173, 110, 244
170, 104, 244
168, 107, 247
165, 105, 241
165, 109, 232
169, 110, 241
167, 111, 239
169, 102, 246
169, 74, 245
167, 72, 243
170, 75, 246
168, 73, 244
168, 72, 246
170, 74, 248
168, 79, 240
169, 80, 242
168, 82, 240
162, 77, 239
175, 75, 242
178, 73, 241
179, 74, 242
180, 75, 243
176, 74, 241
167, 114, 247
159, 109, 246
159, 107, 246
168, 112, 250
