54, 234, 180
67, 233, 171
64, 236, 187
65, 236, 174
55, 235, 175
58, 235, 173
49, 238, 178
52, 238, 175
58, 235, 182
58, 238, 178
109, 239, 179
63, 236, 174
67, 237, 177
62, 236, 177
59, 235, 175
55, 238, 176
57, 238, 178
55, 235, 179
67, 236, 189
84, 236, 175
60, 235, 183
54, 238, 177
83, 237, 189
53, 237, 178
44, 236, 177
48, 236, 178
57, 235, 177
54, 234, 179
53, 233, 180
52, 234, 176
80, 237, 178
58, 237, 181
51, 236, 179
50, 232, 178
91, 234, 174
60, 235, 178
97, 228, 176
78, 236, 175
80, 230, 174
62, 239, 177
55, 238, 175
47, 237, 178
57, 238, 177
58, 234, 175
86, 236, 175
63, 232, 171
62, 234, 183
54, 237, 175
63, 236, 177
52, 229, 178
90, 235, 175
61, 239, 177
56, 234, 179
54, 238, 176
75, 238, 192
51, 237, 175
49, 237, 176
48, 236, 177
56, 235, 180
50, 236, 179
56, 238, 176
75, 234, 176
55, 238, 179
64, 236, 185
54, 233, 182
75, 235, 177
68, 234, 175
56, 231, 182
65, 235, 185
72, 237, 178
54, 237, 179
58, 237, 180
61, 235, 174
53, 236, 180
61, 235, 183
56, 234, 174
70, 237, 178
60, 238, 182
74, 233, 173
58, 233, 173
56, 235, 175
58, 236, 175
57, 237, 180
59, 237, 182
81, 235, 174
73, 235, 179
70, 234, 172
48, 231, 178
69, 236, 175
72, 237, 191
71, 236, 177
60, 238, 177
71, 237, 178
56, 235, 179
61, 234, 182
57, 237, 175
74, 236, 178
65, 235, 175
65, 235, 184
60, 234, 175
59, 238, 178
74, 237, 179
62, 234, 186
79, 233, 180
61, 235, 182
76, 234, 183
60, 237, 176
58, 236, 174
55, 237, 177
57, 237, 179
59, 237, 181
52, 236, 179
67, 238, 177
61, 235, 177
49, 235, 177
48, 238, 176
56, 237, 179
100, 235, 175
55, 236, 180
57, 236, 182
69, 231, 171
59, 236, 184
66, 238, 177
72, 236, 175
46, 236, 177
95, 237, 176
51, 238, 177
56, 237, 174
92, 229, 175
62, 237, 177
73, 236, 177
77, 236, 178
52, 232, 181
51, 234, 175
50, 238, 178
100, 241, 186
53, 235, 178
68, 236, 177
65, 233, 172
60, 236, 187
69, 235, 177
77, 235, 181
103, 241, 187
59, 236, 174
57, 236, 181
59, 236, 183
65, 234, 172
60, 233, 172
58, 238, 177
72, 236, 174
54, 235, 179
83, 238, 180
51, 238, 176
70, 236, 174
50, 234, 175
60, 236, 182
98, 237, 177
59, 233, 173
72, 232, 172
73, 236, 185
72, 235, 177
63, 234, 177
52, 238, 178
45, 237, 177
63, 236, 186
81, 237, 177
89, 240, 181
71, 234, 186
62, 233, 174
60, 236, 177
71, 235, 187
66, 234, 178
56, 237, 177
48, 237, 178
67, 236, 174
49, 238, 176
52, 234, 175
58, 235, 180
64, 237, 177
58, 238, 176
51, 234, 178
62, 236, 175
94, 230, 176
54, 235, 178
62, 233, 178
76, 236, 181
65, 233, 175
56, 236, 180
50, 233, 178
57, 238, 176
62, 231, 181
73, 236, 175
50, 237, 175
67, 233, 173
75, 236, 177
97, 230, 177
74, 234, 173
52, 238, 177
69, 233, 173
58, 238, 180
65, 237, 177
63, 236, 176
61, 236, 183
60, 235, 181
62, 235, 183
54, 238, 175
64, 233, 174
55, 234, 181
76, 236, 176
53, 237, 176
54, 230, 180
78, 236, 187
48, 236, 176
60, 239, 178
66, 236, 187
55, 238, 178
58, 234, 178
64, 236, 175
73, 235, 174
75, 235, 176
49, 238, 175
64, 237, 176
61, 233, 173
61, 233, 182
78, 232, 176
58, 237, 179
62, 235, 178
64, 233, 178
51, 237, 178
77, 235, 174
56, 238, 179
67, 233, 172
62, 232, 172
84, 232, 175
52, 234, 178
61, 236, 182
72, 237, 190
48, 232, 178
50, 232, 180
60, 238, 176
89, 228, 174
68, 237, 188
70, 237, 190
66, 236, 177
56, 235, 178
60, 239, 177
57, 235, 174
66, 233, 171
57, 238, 179
59, 235, 185
80, 236, 174
54, 234, 176
73, 235, 182
51, 232, 179
67, 235, 185
59, 238, 177
62, 234, 176
52, 237, 175
71, 233, 175
58, 237, 178
69, 236, 187
55, 234, 175
54, 238, 178
49, 237, 178
88, 236, 175
56, 238, 178
73, 234, 176
58, 236, 182
69, 237, 178
66, 233, 175
55, 237, 176
57, 237, 178
66, 233, 184
86, 228, 177
73, 235, 177
54, 236, 180
72, 236, 188
45, 235, 177
60, 234, 178
59, 238, 181
56, 234, 185
87, 233, 178
82, 232, 178
66, 236, 176
56, 235, 177
59, 237, 175
63, 232, 172
77, 237, 192
65, 235, 173
50, 239, 177
60, 234, 173
61, 238, 177
59, 238, 176
62, 234, 175
63, 235, 183
54, 237, 176
58, 237, 177
69, 236, 177
46, 237, 177
59, 234, 178
64, 232, 171
62, 237, 185
55, 237, 175
86, 236, 180
54, 233, 183
62, 234, 179
56, 234, 175
68, 237, 177
56, 234, 184
55, 236, 178
88, 236, 178
64, 235, 177
83, 231, 180
55, 237, 179
57, 237, 181
74, 236, 175
71, 232, 172
61, 238, 176
51, 238, 175
69, 236, 176
71, 236, 178
47, 235, 177
69, 235, 180
64, 234, 180
60, 237, 182
62, 237, 184
64, 238, 177
51, 235, 178
67, 234, 177
81, 234, 184
50, 238, 176
59, 237, 178
64, 239, 178
81, 238, 181
53, 235, 176
70, 236, 177
62, 233, 182
105, 239, 178
78, 234, 177
59, 232, 184
47, 238, 177
95, 241, 184
64, 234, 184
56, 237, 176
92, 240, 183
57, 236, 179
100, 238, 177
66, 235, 178
53, 234, 179
85, 239, 180
87, 239, 182
62, 236, 174
54, 235, 177
73, 237, 179
53, 238, 176
76, 236, 189
47, 235, 176
71, 235, 181
66, 234, 181
56, 237, 180
66, 238, 178
52, 238, 176
53, 234, 174
78, 233, 176
58, 238, 179
80, 235, 179
46, 236, 178
61, 237, 174
51, 238, 178
48, 234, 175
62, 233, 172
61, 237, 183
76, 236, 175
56, 236, 174
63, 237, 176
88, 230, 182
81, 237, 193
82, 231, 174
65, 233, 178
92, 239, 181
69, 235, 183
64, 234, 174
63, 238, 177
57, 235, 183
50, 237, 178
67, 233, 185
58, 235, 178
61, 233, 172
98, 241, 185
65, 237, 189
54, 235, 176
69, 234, 177
53, 238, 175
56, 233, 173
56, 236, 178
53, 237, 179
59, 232, 178
64, 234, 178
79, 235, 190
79, 238, 195
61, 240, 188
73, 235, 186
74, 238, 187
64, 237, 188
86, 237, 191
73, 239, 192
72, 238, 193
78, 236, 194
77, 235, 186
70, 238, 190
67, 233, 184
62, 240, 188
65, 236, 187
74, 234, 184
77, 239, 188
72, 238, 188
65, 239, 188
67, 239, 190
71, 237, 189
69, 240, 192
67, 240, 191
81, 239, 196
79, 235, 189
85, 237, 195
64, 236, 186
80, 236, 195
84, 238, 197
89, 239, 199
74, 233, 192
76, 238, 191
70, 238, 189
75, 234, 190
80, 236, 190
75, 235, 191
67, 238, 188
74, 240, 190
71, 236, 187
63, 239, 188
67, 239, 189
69, 240, 191
81, 239, 195
78, 235, 192
78, 239, 189
75, 235, 186
72, 237, 187
72, 240, 192
66, 240, 190
80, 239, 195
74, 240, 194
76, 234, 193
70, 237, 187
89, 241, 199
72, 241, 193
68, 241, 191
71, 240, 193
83, 238, 196
72, 237, 191
70, 236, 190
74, 240, 189
63, 239, 187
75, 238, 191
79, 234, 186
68, 240, 190
70, 240, 192
77, 237, 194
77, 240, 190
74, 236, 187
65, 235, 184
81, 238, 189
59, 238, 187
72, 240, 191
74, 240, 193
60, 237, 185
77, 236, 188
69, 239, 189
71, 239, 191
77, 237, 189
77, 240, 194
71, 240, 192
85, 239, 197
73, 237, 187
68, 236, 187
80, 239, 198
72, 239, 190
69, 235, 187
74, 239, 192
90, 237, 191
78, 237, 191
76, 240, 194
75, 236, 193
67, 234, 184
70, 240, 191
80, 238, 192
83, 238, 190
73, 237, 191
65, 241, 190
80, 239, 193
